"X1" "X2" "X3" "X4" "X5" "X6"
-29.5 -29.9 -81.1 -58.1 -55.9 -50.7
14.1 6 -29.8 -16.4 -5.3 -0.5
-5.2 -18.9 -88.6 -54.1 -26.5 -18.2
17.6 2.1 -64.5 -36.8 -24 -17.1
100.7 77.6 38.5 46 78.3 71.6
18 -60.2 -62.8 -73.4 28.4 18.1
119.6 82.8 58.9 65.2 112.6 95.1
101.5 71.6 55.6 57.6 77.8 76.9
46.1 31.3 0.2 13.9 21.1 21.9
8.6 0 -21.5 -11.4 2.2 6.7
-3 -0.4 -30.9 -17.1 -23.4 -17
5.4 9.3 -18.4 -2.3 -17.5 -14.7
1.7 2.6 -36.4 -15.4 -30.9 -24.1
5.9 3.8 -57.7 -26.7 -24.3 -19.6
10.9 -8.2 -43.9 -29.1 -0.1 6
14.2 -21.3 -84.9 -90.2 -40.3 -37.8
45.3 10.9 -22 -9 41.7 39.5
127.4 103.8 80 77.6 103.7 100.1
145.2 139.5 70 94.1 100.9 109.5
120.9 92.5 74 68.5 115.5 113.5
20 0 -38 -20.1 2.8 5.5
47.6 39.1 18 25.5 29 32.6
-62.3 -61.1 -120.9 -102.4 -74.1 -54.6
-30.9 -32.3 -75.4 -59.4 -57.3 -43.3
-1.4 -4.1 -52.3 -40.6 -47 -44
9.4 -9.8 -23.9 -16 -4.4 0.1
25.1 12.4 -35 -17.1 6 11.2
60.2 42.8 3.6 15.1 47.8 46.8
105.9 88.7 26.4 51.4 69 67.4
115.4 87.6 49 57.5 90 86.6
156.1 143.6 95.3 113.2 118.2 118.4
97.4 64.6 44.1 25.9 56.4 51
62.3 47.8 24.4 30.8 49.7 50.2
27.2 18.4 -4 1.6 11.8 12.6
-35.1 -43.3 -67.6 -72 -37.8 -35.9
-19 -15.1 -52.5 -38.2 -37.8 -30
21.5 19.2 11 12.3 11.8 8.1
5 -4.5 -52.6 -29.8 -22.5 -17.7
32.6 10.3 -3.7 -13.6 18.9 17.5
41 25.9 -26.6 -15.4 4.2 4.7
41.5 6.3 -38.4 -23.4 14.7 10.8
134.6 114 87.8 94.4 116.8 114.2
132.9 106.4 55.6 63.3 78.2 73.8
115.7 90.9 66 63.1 86.4 84.4
74.8 59.9 43.5 51.8 56.8 57.3
-3.6 -18.3 -41 -51.1 -13.3 -11
-56.3 -60.9 -94.7 -85.3 -60.9 -56
-5.1 -8.8 -20.1 -15.7 -11.5 -9.2
-22.4 -23.6 -86.2 -74.1 -61.5 -59.6
4.3 8 -58.2 -17.1 -17.9 -9.1
31 29 -23.4 8.4 12.6 18.2
6.3 -8.5 -62.5 -46.3 -5.5 -4.9
44.1 9.1 -55.6 -51.5 17.8 13.3
123.8 120.1 54.1 55 63.9 58.6
155.4 118.1 114.8 90.9 128.1 120.2
43.5 -21.1 18.3 -35.4 64.9 61.8
34.9 37.1 -17.9 23.9 32.3 36.9
-30.4 -39.6 -71 -65.1 -27.8 -21.7
-55.5 -69.7 -105.7 -99.8 -70.4 -63
-15.1 -7.7 -30.7 -11.6 -15 -10.5
6.4 10.3 -29.3 -9.5 -28.5 -20.5
5.7 -6.7 -27.4 -10.8 9.6 13.7
20.5 4.2 -61.2 -38.5 -36.4 -29.1
80.1 67.6 28.6 41 54.7 57.7
12.1 9.3 -77.4 -48.4 17.4 20.7
77.2 72.9 -10.5 37.7 37.3 36.1
141.1 117.7 78.6 84.6 93.7 93.2
117.4 109.4 44.9 71.3 67.6 67.2
22.6 7.7 -42.4 -25.8 -0.6 2.4
0.7 -11.4 -22.6 -25.8 13 17.1
-23.2 -24.9 -60.1 -38.9 -39.6 -31.5
-87.9 -107.9 -165.5 -162.4 -114.8 -103.3
7.7 9.1 -30.8 -14.4 -27 -18.7
-21.4 -37.2 -38.3 -43.9 6.7 13.2
-59.9 -64.2 -172.7 -124.9 -67.9 -51.6
5.1 -12.2 -84.2 -52.4 -21.9 -11.7
88.6 71.4 29.1 41.4 48.4 47
138.9 125 81.5 90.9 110 108.8
170.8 150.6 118.2 131.9 146 146.2
143.7 131.5 93.5 94 104.7 102.2
73.5 63.5 6.1 39.8 39 39.4
21.4 -4.3 -41.1 -46 -15.5 -12.1
-12.4 -22.1 -96.9 -62.3 -68.1 -57.3
-12.7 -20.9 -36.4 -35.8 -26.5 -21.8
9.2 4.3 5.8 2.4 4.7 5.4
1.7 2.5 -14 -8.6 1.5 4
45 38.4 16.5 21.8 44.2 46.5
62 43.3 14.9 24 44 44
36.7 15.2 -36.7 -18.1 15.7 24.8
7.2 -30.9 -58.4 -35 38.6 48.6
165.3 152 122.4 131.9 134.8 139.6
98.6 68.5 60.6 41.6 88.1 75.8
33.2 32.6 2.1 11.7 40.3 37.1
6.7 4.5 -49.3 -37 -27.6 -20.5
-13.1 -15 -56.5 -42 -35.7 -29.9
-7.4 -12.6 -47.9 -31.5 -41.7 -21.8
-71.2 -96.7 -128.4 -152.3 -74.9 -129.5
-40.1 -48.7 -91 -94.2 -43.1 -52.9
14.7 -9.2 -65.9 -57.5 -28.4 -30.4
